# HIP Sn So Nc RArad DErad Plx pmRA pmDE e_RArad e_DErad e_Plx e_pmRA e_pmDE Ntr F2 F1 var ic Hpmag e_Hpmag sHp VA B_V e_B_V V_I UW1 UW2 UW3 UW4 UW5 UW6 UW7 UW8 UW9 UW10 UW11 UW12 UW13 UW14 UW15
# taken from HIP2.dat from https://code.google.com/p/pystaratlas/
14143 5 0 1 0.795761645 0.0759719214 5.93 17.09 6.89 0.33 0.25 0.32 0.43 0.3 60 0.57 1 0.0 0 5.5921 0.0009 0.006 0 -0.107 0.001 -0.09 1.41 -2.21 1.11 -0.31 0.79 1.05 -1.68 -0.83 0.89 1.17 -0.03 -0.14 -0.78 -2.11 1.0
14146 5 0 1 0.7958405515 -0.4123224482 36.8 -147.25 -55.28 0.13 0.13 0.18 0.17 0.17 107 0.08 1 0.0 0 4.1328 0.0004 0.003 0 0.163 0.004 0.18 1.1 -1.86 1.02 -0.96 0.16 1.03 -2.23 0.3 -1.19 1.14 0.8 1.16 1.67 -3.15 1.0
14240 5 0 1 0.8011718486 -1.0426181562 23.04 -73.29 -64.06 0.13 0.15 0.16 0.17 0.18 122 -0.18 0 0.0 0 5.2076 0.0008 0.007 0 0.349 0.003 0.41 1.0 0.54 1.0 -0.15 0.46 1.03 0.19 0.14 -1.26 1.0 0.14 0.02 -0.45 -0.04 1.0
14328 75 4 1 0.8063268603 0.9338637261 13.41 0.51 -5.92 0.39 0.35 0.51 0.65 0.52 76 20.17 0 0.0 0 3.0586 0.0005 0.004 0 0.716 0.002 0.77 1.02 -0.56 1.01 -1.0 0.22 1.02 -0.16 0.24 -1.06 1.08 0.28 -0.83 -1.04 2.49 1.0
14354 5 0 1 0.8079781482 0.6778951858 10.6 129.22 -105.7 0.17 0.15 0.25 0.17 0.16 59 0.45 0 0.0 0 3.2889 0.0195 0.055 2 1.528 0.01 2.76 1.08 -1.04 1.22 -2.04 2.73 1.07 -0.07 0.74 -0.39 1.0 0.97 0.45 -2.48 -0.2 1.0
14576 75 4 1 0.8210414333 0.7148109521 36.27 2.99 -1.66 1.21 0.86 1.4 1.42 1.22 84 52.82 1 0.0 0 2.0969 0.002 0.014 1 -0.003 0.004 0.02 1.28 -4.61 1.14 0.51 1.31 1.06 1.8 1.32 -1.91 1.01 0.6 2.07 0.23 -0.67 1.0
14879 15 3 2 0.8380692937 -0.5059553529 70.24 370.87 611.33 0.26 0.29 0.45 0.3 0.42 163 19.37 0 0.0 0 3.9821 0.0005 0.007 0 0.543 0.015 0.63 1.11 -0.49 1.01 -0.36 -0.48 1.01 3.41 0.54 -0.17 1.06 0.27 -0.43 0.7 -1.94 1.0
15197 5 0 1 0.8544860597 -0.1539352543 29.72 -0.35 46.1 0.25 0.12 0.29 0.39 0.27 148 1.06 0 0.0 0 4.8647 0.0005 0.005 0 0.232 0.005 0.28 1.06 2.6 1.1 -0.54 -0.38 1.1 0.23 -0.19 -1.25 1.05 -0.27 1.85 0.06 -1.26 1.0
15474 5 5 1 0.8705534791 -0.3797477351 10.71 51.89 32.92 0.33 0.35 0.54 0.46 0.56 123 22.03 0 0.0 0 3.7303 0.0024 0.022 2 1.614 0.002 2.42 1.05 -2.14 1.07 -0.26 0.86 1.01 -0.9 -0.62 -1.07 1.2 -0.37 1.79 0.1 -3.21 1.0
15510 5 0 1 0.8721719177 -0.7517403453 165.47 3038.34 726.58 0.15 0.15 0.19 0.2 0.21 122 4.42 0 0.0 0 4.395 0.0004 0.005 0 0.711 0.005 0.79 1.03 -0.96 1.02 -0.81 1.07 1.03 1.23 0.09 -0.69 1.01 -0.05 0.8 1.36 -1.08 1.0
15863 5 0 1 0.8915249885 0.8702428603 6.44 23.75 -26.23 0.15 0.11 0.17 0.16 0.15 88 2.52 2 0.0 0 1.8972 0.0008 0.005 0 0.481 0.004 0.63 1.02 -0.33 1.02 -1.08 0.96 1.01 0.1 1.08 -1.14 1.02 1.39 0.48 -0.63 1.54 1.0
15900 1 1 1 0.8936694857 0.1575869018 11.21 -67.04 -78.04 0.71 0.54 0.87 1.03 1.02 71 0.46 0 2.9 0 3.77 0.0006 0.004 0 0.887 0.019 0.9 1.14 -1.08 1.05 -0.14 0.12 1.04 0.06 -0.08 -0.04 1.22 -0.13 0.31 -0.28 -0.7 1.0
16228 15 3 2 0.9122352084 1.0461561949 1.68 -2.24 -0.9 0.36 0.32 0.5 0.4 0.39 121 15.7 1 0.0 0 4.3087 0.0023 0.024 1 0.419 0.04 0.58 1.11 1.32 1.07 -1.45 1.21 1.02 0.31 1.22 -1.01 1.01 1.39 0.13 -0.03 0.81 1.0
16537 5 0 1 0.9291276019 -0.165078582 310.94 -975.17 19.49 0.14 0.11 0.16 0.21 0.2 78 -2.15 0 0.0 0 3.8652 0.0013 0.007 0 0.881 0.007 0.94 1.1 -2.01 1.08 -0.94 0.0 1.01 -1.39 0.37 0.46 1.12 0.91 1.42 -0.1 -2.0 1.0
16611 5 0 1 0.9328237929 -0.377563861 11.12 44.94 -28.16 0.13 0.13 0.21 0.18 0.18 138 -0.26 0 0.0 0 4.2359 0.0003 0.004 0 -0.106 0.008 -0.09 1.16 -2.84 1.03 -0.37 0.4 1.03 -1.8 -1.41 -0.86 1.23 -0.71 1.27 -0.68 -3.84 1.0
17358 15 3 2 0.9726925032 0.8340518896 6.32 25.58 -43.06 0.37 0.29 0.47 0.43 0.38 87 18.92 0 0.0 0 2.9703 0.0012 0.006 0 -0.125 0.011 -0.07 1.05 -0.74 1.04 -1.91 1.46 1.02 0.67 0.25 -0.69 1.0 0.26 -0.67 1.13 -0.48 1.0
17378 5 0 1 0.9741086905 -0.1704348693 110.61 -93.16 743.64 0.18 0.15 0.22 0.29 0.22 62 0.34 0 0.0 0 3.6796 0.0005 0.005 0 0.915 0.018 0.94 1.02 -0.55 1.05 -0.81 0.54 1.01 0.04 0.31 -0.41 1.01 0.38 1.2 -0.51 -0.73 1.0
17440 75 4 1 0.9782246829 -1.1310971725 33.49 307.13 77.5 0.47 0.5 0.53 0.53 0.57 137 39.78 0 0.0 0 4.0019 0.0005 0.005 0 1.133 0.004 1.11 1.01 0.87 1.01 -0.89 0.53 1.03 0.52 -0.16 -1.6 1.0 -0.1 -0.8 1.17 0.04 1.0
17448 15 3 2 0.9787752922 0.5635366801 2.91 8.18 -10.43 0.62 0.36 0.73 0.7 0.69 62 14.51 1 0.0 0 3.8583 0.0027 0.015 1 0.022 0.005 0.12 1.15 -1.54 1.06 -1.69 0.67 1.02 0.22 -0.41 -0.22 1.08 -0.72 -1.06 -0.62 -1.56 1.0
17651 5 0 1 0.9898190548 -0.4057617865 56.73 -158.84 -528.95 0.1 0.12 0.19 0.12 0.15 189 -0.93 1 0.0 0 4.3164 0.0004 0.004 0 0.434 0.012 0.51 1.13 -0.56 1.07 0.27 -0.34 1.02 -3.05 -2.06 0.67 1.03 -1.48 -1.57 0.89 -1.52 1.0
17678 5 0 1 0.9915092884 -1.2957192138 15.24 50.85 114.74 0.09 0.11 0.11 0.1 0.12 119 -1.33 2 0.0 0 3.342 0.002 0.018 2 1.59 0.051 1.94 1.04 -0.51 1.1 -1.22 3.49 1.0 2.11 -0.73 0.17 1.01 -0.8 1.52 0.17 -1.05 1.0
17797 17 3 2 0.9974427534 -0.656595104 19.71 74.44 -9.09 0.59 0.71 0.86 0.71 0.87 132 27.84 0 0.0 170 4.2697 0.0006 0.01 2 -0.038 0.009 -0.02 1.1 0.57 1.14 1.51 0.82 1.03 0.27 -0.49 -0.6 1.17 -0.39 -0.12 -0.35 -0.65 1.05
17847 75 4 1 0.9999086753 0.4198131927 8.53 17.7 -44.18 0.36 0.23 0.39 0.36 0.32 68 4.63 1 0.0 0 3.6084 0.001 0.006 0 -0.07 0.015 -0.03 1.27 -2.37 1.12 -2.06 -0.74 1.01 -1.34 -0.22 0.13 1.07 0.32 -2.15 0.62 -1.73 1.0
17874 5 0 1 1.0011849147 -0.6318111537 15.54 -49.18 -57.01 0.13 0.13 0.17 0.14 0.18 130 0.46 0 0.0 0 4.328 0.0005 0.005 0 0.927 0.045 0.92 1.07 0.76 1.01 -0.16 -0.29 1.0 2.5 -1.12 0.25 1.01 -0.78 0.12 -0.22 -0.59 1.0
17959 5 0 1 1.0051260843 1.2449846782 9.09 18.17 -42.85 0.11 0.14 0.18 0.11 0.17 178 0.75 1 0.0 0 4.6368 0.0004 0.004 0 0.064 0.003 0.13 1.05 1.86 1.02 -0.59 0.78 1.0 1.48 -0.46 -0.58 1.02 -0.08 0.52 -0.43 1.09 1.0
18246 5 0 1 1.0215934628 0.5564748061 4.34 5.77 -9.92 0.14 0.1 0.19 0.24 0.19 125 -0.05 1 0.0 0 2.898 0.0006 0.007 0 0.271 0.02 0.18 1.1 -4.75 1.16 0.33 0.9 1.03 -1.02 0.59 -0.97 1.04 1.56 -2.93 0.97 -1.47 1.0
18505 5 0 1 1.0359573047 1.1008184155 9.04 6.43 5.37 0.18 0.2 0.29 0.22 0.25 120 2.27 0 0.0 0 4.9464 0.0006 0.005 0 -0.074 0.005 -0.01 1.05 -0.32 1.06 -0.27 -0.28 1.02 -1.07 1.06 -0.73 1.0 1.01 -1.22 -0.56 0.41 1.0
18532 5 0 1 1.0378325027 0.6983110005 5.11 14.06 -23.78 0.2 0.12 0.23 0.26 0.17 78 2.54 3 0.0 0 2.8348 0.001 0.007 0 -0.199 0.011 -0.19 1.06 -1.23 1.06 -0.56 1.44 1.02 1.14 0.74 -0.94 1.01 1.03 -0.49 0.18 -1.19 1.0
18597 5 0 1 1.0417243082 -1.0716347894 6.2 9.8 -14.3 0.24 0.23 0.25 0.22 0.24 145 8.36 1 0.0 0 4.6497 0.0018 0.013 2 1.59 0.072 1.85 1.26 -0.9 1.12 -0.3 0.3 1.0 5.61 -2.8 0.38 1.05 -3.31 2.9 0.33 -1.98 1.0
18614 1 0 1 1.0426814891 0.6246712676 2.62 3.62 1.74 0.42 0.29 0.51 0.61 0.5 94 -0.01 0 1.9 0 4.0307 0.0009 0.007 0 0.016 0.029 0.16 1.03 -0.75 1.1 -0.23 0.03 1.03 0.04 -0.05 -0.31 1.03 -0.09 -0.9 0.4 -0.5 1.0
18724 5 0 1 1.0501661024 0.2179981788 6.74 -8.02 -14.42 0.19 0.07 0.17 0.24 0.16 102 -2.34 1 0.0 0 3.3774 0.0048 0.042 1 -0.099 0.005 -0.08 1.26 -2.27 1.1 -1.13 -0.45 1.06 -1.84 0.94 1.24 1.03 2.98 -1.47 -0.18 1.2 1.0
19747 5 0 1 1.1082899881 -0.7381673341 28.36 42.02 -203.55 0.1 0.11 0.12 0.11 0.12 138 -1.79 0 0.0 0 4.0124 0.0003 0.004 0 1.085 0.037 1.09 1.01 -0.94 1.03 -0.85 0.23 1.0 -0.47 -0.16 -0.39 1.03 -0.1 1.71 0.62 -1.83 1.0
19780 5 0 1 1.1101334814 -1.0903766289 20.18 41.97 49.42 0.09 0.09 0.1 0.09 0.1 161 -2.94 1 0.0 0 3.4953 0.0006 0.005 0 0.915 0.006 0.91 1.29 -1.95 1.06 0.47 -0.23 1.01 8.64 -3.13 -1.08 1.07 -4.14 2.23 1.19 -3.18 1.0
19893 5 0 1 1.1171191805 -0.8986193425 48.87 100.79 183.32 0.3 0.34 0.36 0.31 0.37 115 20.87 0 0.0 0 4.3338 0.002 0.022 1 0.312 0.008 0.37 1.01 -0.4 1.02 -0.03 0.52 1.0 0.18 1.01 0.09 1.01 0.9 0.97 -0.42 -1.15 1.0
19921 5 0 1 1.1191257348 -1.0350107657 54.83 -47.53 -167.58 0.15 0.13 0.15 0.17 0.17 116 0.42 1 0.0 0 4.5977 0.0006 0.005 0 1.078 0.005 1.05 1.04 0.19 1.01 -1.15 0.07 1.01 1.22 -0.28 0.46 1.0 -0.28 0.84 0.63 -0.07 1.0
20042 5 0 1 1.1252732932 -0.5898921671 18.33 62.52 -7.24 0.1 0.13 0.15 0.11 0.16 152 1.5 0 0.0 0 3.5167 0.0005 0.005 0 -0.108 0.002 -0.09 1.02 0.06 1.01 -1.13 0.05 1.01 0.52 1.28 -1.37 1.01 0.97 -0.14 0.16 -1.12 1.0
20205 5 0 1 1.1335574543 0.2727548212 20.19 115.46 -23.42 0.25 0.2 0.32 0.42 0.32 39 1.51 2 0.0 0 3.8123 0.0011 0.006 0 0.981 0.012 0.95 1.05 -0.63 1.08 -1.09 1.15 1.14 -0.28 0.61 -1.49 1.17 0.85 -0.44 -0.08 -2.23 1.0
20455 1 0 1 1.1472650833 0.306175858 20.96 106.56 -29.18 0.52 0.3 0.58 0.81 0.53 78 -0.21 0 1.7 0 3.9308 0.0005 0.003 0 0.983 0.01 0.93 1.11 -1.58 1.16 -0.4 0.02 1.08 0.0 0.33 -0.46 1.01 0.6 -1.03 0.35 -0.25 1.0
20535 7 0 1 1.1520747736 -0.5937084108 11.01 73.77 56.7 0.25 0.31 0.37 0.27 0.4 144 17.04 0 0.0 207 4.0941 0.0008 0.009 0 1.468 0.052 1.53 1.06 0.41 1.07 0.28 0.67 1.01 0.26 0.75 -0.22 1.12 0.6 0.21 -0.07 -1.02 1.15
20648 15 3 2 1.158412653 0.312902435 21.96 107.6 -34.54 0.47 0.3 0.51 0.74 0.59 75 10.61 1 0.0 0 4.3212 0.0006 0.004 0 0.049 0.007 0.08 1.1 -3.11 1.08 -0.41 -0.2 1.03 -0.11 0.63 -0.7 1.17 1.05 -1.61 -0.02 -2.07 1.0
20889 5 0 1 1.1720564593 0.3347632442 22.24 106.19 -37.84 0.23 0.17 0.25 0.38 0.3 66 2.56 1 0.0 0 3.6992 0.0005 0.005 0 1.014 0.006 1.04 1.08 -3.03 1.08 -0.86 0.99 1.02 0.39 0.11 -0.69 1.23 -0.05 -1.69 -0.08 -2.96 1.0
20894 1 0 1 1.1722558422 0.2770002773 21.69 108.42 -26.74 0.41 0.22 0.46 0.62 0.37 73 -0.68 0 1.4 0 3.4597 0.0015 0.008 0 0.179 0.004 0.21 1.12 -0.9 1.05 -0.89 -0.19 1.06 0.37 0.03 -0.25 1.0 -0.08 -0.82 0.71 0.23 1.0
21060 5 0 1 1.1817404512 -0.7845908345 4.63 1.64 -3.09 0.16 0.17 0.19 0.21 0.23 128 1.62 0 0.0 0 5.0008 0.0006 0.006 0 -0.194 0.002 -0.2 1.02 0.17 1.02 -0.51 -0.32 1.01 -0.33 0.89 -0.34 1.0 0.83 0.5 -0.42 0.38 1.0
21281 17 3 2 1.1955300582 -0.9607165832 19.34 57.75 10.93 0.28 0.31 0.31 0.35 0.37 115 20.04 0 0.0 216 3.2372 0.001 0.012 1 -0.079 0.015 -0.08 1.06 1.69 1.05 -0.06 1.06 1.03 -0.43 0.32 1.63 1.02 0.22 1.13 1.24 0.69 1.01
21393 5 0 1 1.2023189036 -0.5334129483 15.25 -49.27 -12.72 0.12 0.14 0.19 0.14 0.16 138 0.85 0 0.0 0 3.973 0.0004 0.004 0 0.957 0.043 0.93 1.02 1.2 1.01 0.15 -0.09 1.0 -0.38 0.85 -0.35 1.01 0.65 0.52 0.17 0.86 1.0
21421 1 0 1 1.2039281519 0.2881496983 48.94 63.45 -188.94 0.64 0.43 0.77 0.84 0.65 61 0.18 0 2.3 0 1.0024 0.0026 0.01 0 1.538 0.008 1.67 1.14 -1.03 1.06 -0.55 0.35 1.07 0.05 0.14 0.06 1.21 0.17 -0.33 0.53 -1.05 1.0
21444 5 0 1 1.2056691238 -0.0585112558 4.83 1.53 -5.01 0.16 0.11 0.19 0.18 0.14 106 -1.13 0 0.0 0 3.8713 0.0064 0.041 1 -0.21 0.009 -0.2 1.18 1.77 1.39 -1.87 -0.71 1.0 -2.0 -1.31 0.26 1.01 -2.92 -5.71 0.11 -0.82 1.0
21594 15 3 2 1.213794389 -0.2496446877 29.69 -76.59 -176.78 0.25 0.22 0.37 0.39 0.33 124 8.79 0 0.0 0 4.0248 0.0005 0.005 0 1.082 0.039 1.09 1.01 -0.89 1.1 -0.33 0.89 1.02 -0.22 -0.26 -0.5 1.0 -0.3 -1.86 0.95 -0.38 1.0
21770 5 0 1 1.2241901557 -0.7306571369 49.59 -140.39 -74.82 0.11 0.12 0.14 0.12 0.14 111 -1.42 0 0.0 0 4.5287 0.0008 0.007 0 0.342 0.011 0.4 1.04 0.57 1.0 -1.13 0.17 1.02 1.78 -0.19 -0.92 1.0 -0.05 0.58 0.98 -0.15 1.0
21861 7 0 1 1.2307077369 -0.6482984674 34.88 46.59 193.56 0.34 0.44 0.42 0.41 0.51 127 14.99 0 0.0 225 5.1297 0.0005 0.005 0 0.391 0.017 0.46 1.13 0.75 1.26 -0.19 -0.11 1.04 -0.2 1.28 -0.82 1.05 1.08 0.03 -0.68 -0.33 1.02
21881 55 3 2 1.2315263871 0.4006748128 8.19 -2.89 -21.86 0.76 0.45 0.88 0.83 0.6 75 22.61 0 0.0 0 4.2366 0.0012 0.007 0 -0.112 0.003 -0.1 1.2 -3.14 1.06 -2.14 0.41 1.06 -0.14 0.67 -0.3 1.1 1.08 -1.85 2.11 -2.65 1.0
21949 5 0 1 1.2351074675 -1.2379814468 6.64 9.32 34.93 0.23 0.21 0.23 0.24 0.27 104 2.35 0 0.0 0 5.4909 0.0006 0.005 0 -0.114 0.004 -0.1 1.13 0.06 1.05 -1.48 0.95 1.0 2.06 0.13 0.11 1.01 0.16 1.24 0.41 -0.45 1.0
22109 5 0 1 1.2457390124 -0.0568039198 6.25 15.94 -14.52 0.16 0.11 0.19 0.28 0.16 67 -1.48 0 0.0 0 3.9696 0.0016 0.008 0 -0.148 0.003 -0.13 1.05 2.12 1.09 -0.89 -0.13 1.06 -0.5 -0.98 -0.19 1.09 -1.73 -2.49 1.78 2.29 1.0
22449 5 0 1 1.2646465369 0.1214966851 123.94 464.06 11.21 0.15 0.09 0.17 0.17 0.12 68 -2.3 0 0.0 0 3.2862 0.0005 0.004 0 0.484 0.003 0.53 1.2 -1.93 1.1 -2.82 0.27 1.01 -0.77 0.37 -0.61 1.02 0.78 -3.0 0.59 -1.3 1.0
22509 5 0 1 1.2680342178 0.1553387203 14.53 1.41 -29.91 0.29 0.24 0.38 0.47 0.37 53 1.66 0 0.0 0 4.3669 0.0006 0.003 0 0.01 0.004 0.04 1.12 -0.79 1.48 -1.69 0.92 1.18 -0.09 -0.77 0.03 1.03 -1.2 -2.48 1.92 -0.78 1.0
22549 5 0 1 1.2706263129 0.0978274735 3.1 -2.21 0.85 0.16 0.1 0.18 0.22 0.12 100 -2.11 3 0.0 0 3.6236 0.0006 0.005 0 -0.157 0.013 -0.16 1.16 2.41 1.32 -2.12 -0.09 1.04 -0.48 -2.1 0.33 1.01 -4.13 -5.22 1.94 1.08 1.0
22701 5 0 1 1.2779941042 -0.0951685423 13.88 -17.86 25.57 0.21 0.14 0.24 0.26 0.19 74 0.29 0 0.0 0 4.4373 0.0009 0.005 0 0.257 0.014 0.33 1.09 0.18 1.14 -1.41 0.52 1.02 -1.24 -0.45 0.59 1.01 -0.71 -2.68 0.68 -0.61 1.0
22730 5 0 1 1.2801084958 0.0437774828 5.52 29.71 -16.41 0.22 0.14 0.26 0.29 0.17 77 -2.15 0 0.0 0 5.4049 0.0013 0.012 2 1.632 0.004 2.05 1.09 -0.11 1.13 -1.11 0.26 1.06 -0.92 -0.34 0.54 1.01 -0.53 -2.2 1.27 -0.56 1.0
22783 5 0 1 1.2830359363 1.1578978524 0.52 -0.13 6.89 0.13 0.14 0.19 0.14 0.15 135 0.37 0 0.0 0 4.294 0.0013 0.014 2 -0.008 0.003 0.09 1.09 -0.56 1.05 -1.05 0.13 1.0 1.63 -2.46 -0.28 1.02 -2.36 0.25 -0.02 -1.46 1.0
22845 5 0 1 1.2867224783 0.1771709011 28.04 41.49 -128.73 0.2 0.13 0.25 0.26 0.16 91 -2.01 0 0.0 0 4.6861 0.0005 0.004 0 0.085 0.004 0.11 1.09 0.93 1.42 -1.31 0.4 1.08 -0.79 -0.62 0.06 1.0 -1.43 -5.16 2.19 0.24 1.0
23015 5 0 1 1.2958790703 0.5788582689 6.61 6.79 -14.88 0.32 0.21 0.38 0.42 0.27 45 4.23 0 0.0 0 2.8337 0.0013 0.005 0 1.49 0.042 1.46 1.16 0.22 1.12 -2.06 1.89 1.03 1.08 -0.07 -0.29 1.01 -0.06 1.59 1.21 0.75 1.0
23123 5 0 1 1.3026630561 0.0299155508 3.45 -1.3 -7.67 0.24 0.16 0.3 0.32 0.2 72 -0.46 0 0.0 0 4.6307 0.0008 0.004 0 1.369 0.066 1.32 1.11 -0.78 1.16 -1.23 0.64 1.1 -1.08 -0.08 0.06 1.04 0.07 -2.23 2.09 -1.32 1.0
23453 75 4 1 1.3198092592 0.7169095101 4.15 9.45 -20.71 0.27 0.18 0.29 0.32 0.21 107 5.83 1 0.0 0 3.8549 0.001 0.007 1 1.154 0.003 1.12 1.11 -3.31 1.35 -1.59 -0.48 1.03 -0.92 0.67 -0.51 1.07 1.71 -6.7 1.93 -2.69 1.0
23685 5 0 1 1.3328244678 -0.3904451062 15.29 21.13 -73.11 0.11 0.12 0.19 0.19 0.16 150 2.07 2 0.0 0 3.3215 0.0006 0.006 0 1.46 0.043 1.5 1.04 1.4 1.04 -0.05 0.47 1.01 -0.58 1.36 -0.74 1.06 1.15 -0.63 0.38 2.46 1.0
23875 1 0 1 1.3432514979 -0.0887720313 36.5 -82.82 -75.39 0.38 0.27 0.42 0.49 0.31 89 -0.37 1 1.6 0 2.8258 0.0004 0.003 0 0.161 0.003 0.16 1.22 0.62 1.23 -0.31 0.53 1.01 -0.18 1.21 -0.04 1.08 1.69 -0.26 0.4 1.26 1.0
23972 5 0 1 1.348905565 -0.1527874491 4.02 0.25 -1.97 0.14 0.11 0.18 0.16 0.11 96 -2.39 2 0.0 0 4.1942 0.0032 0.029 2 -0.187 0.007 -0.16 1.15 1.76 1.15 -0.69 1.2 1.0 -0.49 2.62 -0.44 1.04 3.34 1.17 -0.31 2.18 1.0
24244 5 0 1 1.3626576225 -0.207155625 14.07 24.39 -31.02 0.13 0.11 0.16 0.16 0.13 97 -1.95 0 0.0 0 4.426 0.0005 0.004 0 -0.099 0.005 -0.08 1.07 1.32 1.03 -1.15 0.91 1.01 0.21 1.08 -0.28 1.03 1.3 0.44 0.59 1.7 1.0
24305 1 0 1 1.365420021 -0.2828380962 17.54 47.09 -16.39 0.36 0.33 0.55 0.47 0.39 121 0.29 0 2.3 0 3.2528 0.0005 0.004 0 -0.11 0.18 -0.09 1.11 -0.31 1.07 -0.37 0.42 1.02 0.81 0.51 0.3 1.02 0.45 0.78 0.46 0.59 1.0
24327 15 3 2 1.3667298829 -0.2258680976 4.48 -12.29 -0.79 0.44 0.4 0.58 0.54 0.45 100 21.21 1 0.0 0 4.3328 0.0006 0.004 0 -0.094 0.009 -0.07 1.07 0.72 1.06 -1.15 1.11 1.0 0.05 1.46 0.13 1.01 1.6 0.96 0.59 0.86 1.0
24436 5 0 1 1.3724302998 -0.1431456148 3.78 1.31 0.5 0.3 0.25 0.34 0.4 0.3 73 12.27 0 0.0 0 0.193 0.0015 0.014 1 -0.03 0.6 0.03 1.06 -0.07 1.17 -0.54 0.61 1.0 0.19 1.79 0.08 1.0 2.42 3.61 -0.2 -0.46 1.0
24608 75 4 1 1.3818132039 0.8028345096 76.2 75.25 -426.89 0.45 0.31 0.46 0.54 0.28 58 11.57 3 0.0 0 0.2385 0.0023 0.011 2 0.795 0.019 0.83 1.21 -2.57 1.28 -1.51 0.45 1.0 1.68 0.96 -0.13 1.03 0.79 5.87 -0.66 -2.16 1.0
24845 5 0 1 1.3944108819 -0.2299781465 3.83 -3.3 -4.91 0.17 0.16 0.24 0.19 0.16 86 1.36 3 0.0 0 4.202 0.0006 0.005 0 -0.235 0.004 -0.26 1.1 1.2 1.13 -0.23 1.41 1.01 0.32 2.53 -0.04 1.07 2.8 0.46 0.94 2.53 1.0
24873 5 0 1 1.3961929123 -0.2149478503 9.78 -13.32 7.18 0.28 0.23 0.37 0.29 0.24 88 3.75 1 0.0 0 5.257 0.0005 0.006 0 -0.104 0.004 -0.09 1.12 0.65 1.09 -0.39 0.76 1.01 -0.4 1.9 0.56 1.04 2.26 0.39 0.36 1.55 1.0
25110 5 0 1 1.4074464129 1.3828375774 47.88 -78.48 161.95 0.14 0.17 0.21 0.15 0.22 153 1.31 0 0.0 0 5.19 0.0006 0.006 0 0.505 0.002 0.58 1.03 -0.45 1.0 -0.79 -0.03 1.01 -1.15 -0.53 -1.11 1.0 -0.35 -0.04 0.2 -0.43 1.0
25336 7 0 1 1.4186521954 0.1108237749 12.92 -8.11 -12.88 0.54 0.25 0.52 0.5 0.35 51 5.22 0 0.0 274 1.5493 0.0008 0.006 0 -0.224 0.008 -0.22 1.57 -0.89 1.32 -1.7 0.56 1.28 0.39 0.01 -0.26 1.16 -0.05 -3.52 1.89 -2.62 1.35
25428 5 0 1 1.4237158306 0.4993015867 24.36 22.76 -173.58 0.3 0.17 0.34 0.42 0.18 64 6.31 1 0.0 0 1.6151 0.0006 0.004 0 -0.13 0.002 -0.09 1.07 -0.22 1.02 -1.38 0.82 1.04 1.29 -0.45 -0.99 1.0 -0.81 -0.09 1.01 -0.49 1.0
25606 5 0 1 1.4322409127 -0.3623169486 20.34 -5.02 -86.01 0.11 0.12 0.18 0.18 0.17 102 0.13 0 0.0 0 2.9674 0.0005 0.004 0 0.807 0.027 0.86 1.07 0.16 1.07 -1.25 1.22 1.1 2.24 0.26 -2.65 1.02 0.28 1.63 -0.06 -1.15 1.0
25859 1 1 1 1.4451861014 -0.6190758935 12.39 27.9 -34.72 0.31 0.35 0.42 0.37 0.45 140 0.58 0 2.4 0 4.0314 0.0004 0.004 0 1.13 0.034 1.09 1.01 0.08 1.01 -0.24 0.05 1.01 0.07 0.07 -0.31 1.0 0.06 0.28 0.25 -0.03 1.0
25918 1 2 1 1.448089639 -1.3324133806 31.89 142.5 286.85 0.77 0.63 0.81 0.71 0.89 174 0.14 0 5.7 0 5.3394 0.0006 0.006 0 1.13 0.015 1.11 1.11 0.37 1.04 -0.31 -0.03 1.0 0.5 0.0 0.02 1.01 0.12 0.32 0.01 0.14 1.0
25930 55 3 2 1.4486523477 -0.0052201652 4.71 0.64 -0.69 0.46 0.26 0.58 0.56 0.27 112 21.69 0 0.0 0 2.1361 0.0017 0.03 1 -0.175 0.003 -0.21 1.18 -1.19 1.16 -1.38 -0.28 1.09 -0.1 2.95 -1.78 1.0 5.16 -0.8 2.84 -0.37 1.0
25985 5 0 1 1.4518095186 -0.3110576781 1.47 3.56 1.18 0.08 0.08 0.14 0.12 0.11 160 -0.35 2 0.0 0 2.6426 0.0005 0.005 0 0.211 0.008 0.32 1.04 0.22 1.01 -0.89 0.76 1.03 1.79 0.53 0.05 1.0 0.52 0.72 2.09 -0.4 1.0
26069 5 5 1 1.4557148642 -1.0906537318 3.24 0.79 12.74 0.33 0.36 0.36 0.37 0.45 118 13.84 1 0.0 0 3.903 0.0352 0.302 1 0.64 0.02 0.69 1.02 0.41 1.01 -0.6 -0.44 1.01 0.56 -0.72 0.91 1.01 -0.62 -0.03 -0.03 0.81 1.0
26207 15 3 2 1.4623152277 0.1733838532 2.97 -0.34 -2.94 0.51 0.32 0.55 0.6 0.33 72 12.96 0 0.0 0 3.3298 0.0006 0.005 0 -0.16 0.025 -0.13 1.17 -2.49 1.1 -2.16 1.11 1.0 0.47 0.49 0.16 1.03 0.5 2.26 -0.15 -1.77 1.0
26311 5 0 1 1.4670083233 -0.0209774132 1.65 1.44 -0.78 0.33 0.19 0.45 0.42 0.19 110 15.04 0 0.0 0 1.6235 0.0017 0.013 2 -0.184 0.008 -0.16 1.18 -3.77 1.16 -1.03 -0.22 1.14 -0.09 3.2 -2.25 1.02 5.39 -2.03 4.71 -2.01 1.0
